https://manga-zero.com/,7,10,8,8
https://www.sukima.me/,6,6,7,6
https://www.cmoa.jp/freecontents/,2,1,2,1
https://www.cmoa.jp/freecontents/title/girl/,3,2,3,2
https://sokuyomi.jp/free.html,1,3,1,3
https://www.ebookjapan.jp/ebj/free/,4,4,4,4
https://renta.papy.co.jp/renta/sc/frm/page/topics/c_freeall.htm,5,5,7,5
https://plus.comicess.com/,0,8,0,0
https://bookstore.yahoo.co.jp/free/,14,7,14,16
https://comic.k-manga.jp/,8,9,9,9
https://dokusho-ojikan.jp/free_list/page_type=all/sort=series_rank,11,14,11,11
https://www.mangaz.com/mens/,9,11,10,10
https://comic.pixiv.net/categories/ファンタジー,0,15,0,0
https://dokuha.jp/,0,12,0,0
https://comic-walker.com/contents/list/,10,13,13,13
https://manga-bang.com/,0,0,0,0
,0
,0
